81:  bodyHeight£¨r£©=5,fuzelength=2, headlength=3, bodylength=51, rearlength=4, rearheigth=4
82:  bodyHeight£¨r£©=5,fuzelength=2, headlength=3, bodylength=48, rearlength=7, rearheigth=2
83:  bodyHeight£¨r£©=5,fuzelength=2, headlength=3, bodylength=48, rearlength=7, rearheigth=4
84:  bodyHeight£¨r£©=5,fuzelength=2, headlength=6, bodylength=51, rearlength=1, rearheigth=2
85:  bodyHeight£¨r£©=5,fuzelength=2, headlength=6, bodylength=51, rearlength=1, rearheigth=4
86:  bodyHeight£¨r£©=5,fuzelength=2, headlength=6, bodylength=48, rearlength=4, rearheigth=2
87:  bodyHeight£¨r£©=5,fuzelength=2, headlength=6, bodylength=48, rearlength=4, rearheigth=4
88:  bodyHeight£¨r£©=5,fuzelength=2, headlength=6, bodylength=45, rearlength=7, rearheigth=2
89:  bodyHeight£¨r£©=5,fuzelength=2, headlength=6, bodylength=45, rearlength=7, rearheigth=4
90:  bodyHeight£¨r£©=5,fuzelength=2, headlength=9, bodylength=48, rearlength=1, rearheigth=2
91:  bodyHeight£¨r£©=5,fuzelength=2, headlength=9, bodylength=48, rearlength=1, rearheigth=4
92:  bodyHeight£¨r£©=5,fuzelength=2, headlength=9, bodylength=45, rearlength=4, rearheigth=2
93:  bodyHeight£¨r£©=5,fuzelength=2, headlength=9, bodylength=45, rearlength=4, rearheigth=4
94:  bodyHeight£¨r£©=5,fuzelength=2, headlength=9, bodylength=42, rearlength=7, rearheigth=2
95:  bodyHeight£¨r£©=5,fuzelength=2, headlength=9, bodylength=42, rearlength=7, rearheigth=4
96:  bodyHeight£¨r£©=5,fuzelength=2, headlength=12, bodylength=45, rearlength=1, rearheigth=2
97:  bodyHeight£¨r£©=5,fuzelength=2, headlength=12, bodylength=45, rearlength=1, rearheigth=4
98:  bodyHeight£¨r£©=5,fuzelength=2, headlength=12, bodylength=42, rearlength=4, rearheigth=2
99:  bodyHeight£¨r£©=5,fuzelength=2, headlength=12, bodylength=42, rearlength=4, rearheigth=4
100:  bodyHeight£¨r£©=5,fuzelength=2, headlength=12, bodylength=39, rearlength=7, rearheigth=2
101:  bodyHeight£¨r£©=5,fuzelength=2, headlength=12, bodylength=39, rearlength=7, rearheigth=4
102:  bodyHeight£¨r£©=5,fuzelength=2, headlength=15, bodylength=42, rearlength=1, rearheigth=2
103:  bodyHeight£¨r£©=5,fuzelength=2, headlength=15, bodylength=42, rearlength=1, rearheigth=4
104:  bodyHeight£¨r£©=5,fuzelength=2, headlength=15, bodylength=39, rearlength=4, rearheigth=2
105:  bodyHeight£¨r£©=5,fuzelength=2, headlength=15, bodylength=39, rearlength=4, rearheigth=4
106:  bodyHeight£¨r£©=5,fuzelength=2, headlength=15, bodylength=36, rearlength=7, rearheigth=2
107:  bodyHeight£¨r£©=5,fuzelength=2, headlength=15, bodylength=36, rearlength=7, rearheigth=4
108:  bodyHeight£¨r£©=5,fuzelength=2, headlength=18, bodylength=39, rearlength=1, rearheigth=2
109:  bodyHeight£¨r£©=5,fuzelength=2, headlength=18, bodylength=39, rearlength=1, rearheigth=4
